SecurityID,rUpDown,Date,winRate,tradeCount,winLim,winCount,perWin,lossLim,lossCount,perLoss,dayLim,OverCount,perOver,cDownLim,cDownCount,percDown
300390,rU3D11,20220321,1.855,92,0.05,45,48.9,-0.03,41,44.6,5,1,1.1,-1,4,4.3
300390,rU2D3,20220321,1.854,125,0.05,67,53.6,-2.0,0,0.0,5,8,6.4,-1,49,39.2
300390,rU3D20,20220321,1.849,80,0.05,49,61.3,-2.0,0,0.0,5,16,20.0,-1,14,17.5
300390,rU3D7,20220321,1.84,95,0.05,43,45.3,-0.03,35,36.8,3,10,10.5,-1,6,6.3
300390,rU3D8,20220321,1.839,94,0.05,43,45.7,-0.03,35,37.2,3,12,12.8,-1,3,3.2
300390,rU3D20,20220321,1.837,83,0.05,42,50.6,-0.03,38,45.8,10,0,0.0,-1,2,2.4
300390,rU3D20,20220321,1.837,83,0.05,42,50.6,-0.03,38,45.8,7,0,0.0,-1,2,2.4
300390,rU2D3,20220321,1.837,124,0.05,68,54.8,-2.0,0,0.0,7,3,2.4,-1,52,41.9
300390,rU3D5,20220321,1.834,96,0.05,55,57.3,-2.0,0,0.0,10,1,1.0,-1,39,40.6
300390,rU2D18,20220321,1.831,109,0.03,77,70.6,-2.0,0,0.0,5,21,19.3,-1,11,10.1
300390,rU3D3,20220321,1.831,116,0.05,51,44.0,-0.03,46,39.7,3,3,2.6,-1,15,12.9
300390,rU3D6,20220321,1.822,92,0.05,55,59.8,-2.0,0,0.0,7,5,5.4,-1,31,33.7
300390,rU2D20,20220321,1.818,94,0.05,46,48.9,-0.03,44,46.8,10,1,1.1,-1,2,2.1
300390,rU3D20,20220321,1.816,85,0.05,40,47.1,-0.03,32,37.6,3,10,11.8,-1,2,2.4
300390,rU2D9,20220321,1.814,114,0.03,81,71.1,-2.0,0,0.0,5,13,11.4,-1,20,17.5
300390,rU3D11,20220321,1.812,93,0.05,42,45.2,-0.03,36,38.7,3,10,10.8,-1,4,4.3
300390,rU3D2,20220321,1.806,74,0.05,38,51.4,-0.03,34,45.9,5,1,1.4,-2,0,0.0
300390,rU3D13,20220321,1.803,87,0.05,43,49.4,-0.03,40,46.0,5,1,1.1,-1,2,2.3
300390,rU2D18,20220321,1.8,94,0.05,45,47.9,-0.03,43,45.7,5,3,3.2,-1,2,2.1
300390,rU2D19,20220321,1.798,92,0.05,57,62.0,-2.0,0,0.0,7,15,16.3,-1,19,20.7
